"species_nr","code","wetnaam","nednaam","aangevuld"
"67","ANTXARI","Anthoxanthum aristatum","Slofhak","0"
"66","ANTXODO","Anthoxanthum odoratum","Gewoon reukgras","0"
"6039","ANTI-SP","Anthriscus species","Kervel (G)","0"
"68","ANTICAU","Anthriscus caucalis","Fijne kervel","0"
"69","ANTICER","Anthriscus cerefolium","Echte kervel","0"
"70","ANTISYL","Anthriscus sylvestris","Fluitenkruid","0"
"6040","ANTY-SP","Anthyllis species","Wondklaver (G)","0"
"71","ANTYVUL","Anthyllis vulneraria","Wondklaver","0"
"6041","ANTN-SP","Antirrhinum species","Leeuwenbek (G)","0"
"5018","ANTNMAJ","Antirrhinum majus","Grote leeuwenbek","0"
"6042","APER-SP","Apera species","Windhalm (G)","0"
"2423","APERINT","Apera interrupta","Stijve windhalm","0"
"73","APERSPI","Apera spica-venti","Grote windhalm","0"
"6043","APHA-SP","Aphanes species","Leeuwenklauw (G)","0"
"74","APHAARV","Aphanes arvensis","Grote leeuwenklauw","0"
"75","APHAINE","Aphanes inexpectata","Kleine leeuwenklauw","0"
"6044","APIU-SP","Apium species","Moerasscherm (G)","0"
"76","APIUGRA","Apium graveolens","Selderij","0"
"77","APIUINU","Apium inundatum","Ondergedoken moerasscherm","0"
"78","APIUNOD","Apium nodiflorum","Groot moerasscherm","0"
"79","APIUREP","Apium repens","Kruipend moerasscherm","0"
"6045","AQUI-SP","Aquilegia species","Akelei (G)","0"
"80","AQUIVUL","Aquilegia vulgaris","Wilde akelei","0"
"6046","ARAB-SP","Arabidopsis species","Zandraket (G)","0"
"81","ARABTHA","Arabidopsis thaliana","Zandraket","0"
"6047","ARAI-SP","Arabis species","Scheefkelk (G)","0"
"206","CARAARE","Arabis arenosa","Rozetsteenkers","0"
"1315","ARAIGLA","Arabis glabra","Torenkruid","0"
"2333","ARAIHIR","Arabis hirsuta","Ruige en Pijlscheefkelk","0"
"82","ARAIH-H","Arabis hirsuta s. hirsuta","Ruige scheefkelk s.s.","0"
"1458","ARAIH-S","Arabis hirsuta s. sagittata","Pijlscheefkelk","0"
"6048","ARCT-SP","Arctium species","Klit (G)","0"
"83","ARCTLAP","Arctium lappa","Grote klit","0"
"2457","ARCTMSL","Arctium minus s.l. (incl. A. pubens)","Gewone klit","0"
"85","ARCTNEM","Arctium nemorosum","Bosklit","0"
"87","ARCTTOM","Arctium tomentosum","Donzige klit","0"
"2470","ARCTL*T","Arctium lappa x tomentosum","Grote x Donzige klit","0"
"2471","ARCTM*T","Arctium minus x tomentosum","Gewone x Donzige klit","0"
"2472","ARCTL*M","Arctium lappa x minus","Grote x Gewone klit","0"
"6049","ARCO-SP","Arctostaphylos species","Berendruif (G)","0"
"88","ARCOUVA","Arctostaphylos uva-ursi","Berendruif","0"
"6050","AREN-SP","Arenaria species","Zandmuur (G)","0"
"1459","ARENS-L","Arenaria leptoclados","Tengere zandmuur","0"
"89","ARENS-S","Arenaria serpyllifolia","Gewone zandmuur","0"
"6051","ARIS-SP","Aristolochia species","Pijpbloem (G)","0"
"90","ARISCLE","Aristolochia clematitis","Pijpbloem","0"
"6052","ARME-SP","Armeria species","Engels gras (G)","0"
"91","ARMEMAR","Armeria maritima","Engels gras","0"
"6053","ARMO-SP","Armoracia species","Mierik (G)","0"
"92","ARMORUS","Armoracia rusticana","Mierik","0"
"6054","ARNI-SP","Arnica species","Valkruid (G)","0"
"93","ARNIMON","Arnica montana","Valkruid","0"
"6055","ARNO-SP","Arnoseris species","Korensla (G)","0"
"94","ARNOMIN","Arnoseris minima","Korensla","0"
"6056","ARON-SP","Aronia species","Appelbes (G)","0"
"1965","ARON*PR","Aronia x prunifolia","Zwarte appelbes","0"
"6057","ARRH-SP","Arrhenatherum species","Glanshaver (G)","0"
"96","ARRHELA","Arrhenatherum elatius","Glanshaver","0"
"1608","ARRHE-B","Arrhenatherum elatius s. bulbosum","Knolglanshaver","0"
"2391","ARRHE-E","Arrhenatherum elatius s. elatius","Gewone glanshaver","0"
"6058","ARTE-SP","Artemisia species","Alsem (G)","0"
"97","ARTEABS","Artemisia absinthium","Absintalsem","0"
"1663","ARTEBIE","Artemisia biennis","Rechte alsem","0"
"2392","ARTECAM","Artemisia campestris","Averuit","0"
"98","ARTEC-C","Artemisia campestris s. campestris","Wilde averuit","0"
"99","ARTEC-M","Artemisia campestris s. maritima","Duinaveruit","0"
"5019","ARTEDRA","Artemisia dracunculus","Dragon","0"
"101","ARTEVUL","Artemisia vulgaris","Bijvoet","0"
"6059","ARUM-SP","Arum species","Aronskelk (G)","0"
"102","ARUMITA","Arum italicum","Italiaanse aronskelk","0"
"103","ARUMMAC","Arum maculatum","Gevlekte aronskelk","0"
"6641","ARUN-SP","Aruncus species","Geitenbaard (G)","0"
"5020","ARUNDIO","Aruncus dioicus","Geitenbaard","0"
"6643","ASAR-SP","Asarum species","Mansoor (G)","0"
"5022","ASAREUR","Asarum europaeum","Mansoor","0"
"6060","ASPA-SP","Asparagus species","Asperge (G)","0"
"1904","ASPAOFF","Asparagus officinalis","Asperge","0"
"104","ASPAO-O","Asparagus officinalis s. officinalis","Tuinasperge","0"
"105","ASPAO-P","Asparagus officinalis s. prostratus","Liggende asperge","0"
"6630","ASPE-SP","Asperugo species","Scherpkruid (G)","0"
"106","ASPEPRO","Asperugo procumbens","Scherpkruid","0"
"6061","ASPR-SP","Asperula species","Bedstro (G)","0"
"107","ASPRARV","Asperula arvensis","Akkerbedstro","0"
"108","ASPRCYN","Asperula cynanchica","Kalkbedstro","0"
"6062","ASPL-SP","Asplenium species","Streepvaren (G)","0"
"111","ASPLADI","Asplenium adiantum-nigrum","Zwartsteel","0"
"2437","ASPLFON","Asplenium fontanum","Genaalde streepvaren","0"
"2438","ASPLFOR","Asplenium foreziense","Forez-streepvaren","0"
"112","ASPLRUT","Asplenium ruta-muraria","Muurvaren","0"
"934","ASPLSCO","Asplenium scolopendrium","Tongvaren","0"
"2473","ASPLSEP","Asplenium septentrionale","Noordse streepvaren","0"
"113","ASPLTRI","Asplenium trichomanes","Steenbreekvaren","0"
"1609","ASPLVIR","Asplenium viride","Groensteel","0"
"6063","ASTE-SP","Aster species","Aster (G)","0"
"5023","ASTELAE","Aster laevis","Gladde aster","0"
"114","ASTELAN","Aster lanceolatus","Smalle aster","0"
"5024","ASTEMAC","Aster macrophyllus","Grote aster","0"
"5025","ASTENOV","Aster novi-belgii","Nieuw-Nederlandse aster","0"
"116","ASTETRA","Aster tradescantii","Kleine aster","0"
"117","ASTETRI","Aster tripolium","Zulte","0"
"2377","ASTET#D","Aster tripolium f. discoideus","Zulte (fo. discoideus)","0"
"5230","ASTE*VE","Aster x versicolor","Herfstaster","0"
"6064","ASTR-SP","Astragalus species","Hokjespeul (G)","0"
"2474","ASTRCIC","Astragalus cicer","Bergerwt","0"
"118","ASTRGLY","Astragalus glycyphyllos","Wilde hokjespeul","0"
"6065","ATHY-SP","Athyrium species","Wijfjesvaren (G)","0"
"119","ATHYFIL","Athyrium filix-femina","Wijfjesvaren","0"
"6066","ATRP-SP","Atriplex species","Melde (G)","0"
"120","ATRPGLA","Atriplex glabriuscula","Kustmelde","0"
"1664","ATRPHOR","Atriplex hortensis","Tuinmelde","0"
"124","ATRPLAC","Atriplex laciniata","Gelobde melde","0"
"122","ATRPLIT","Atriplex littoralis","Strandmelde","0"
"123","ATRPPAT","Atriplex patula","Uitstaande melde","0"
"2410","ATRPP;B","Atriplex patula v. bracteata","Uitstaande melde (var. bracteata)","0"
"2393","ATRPP;P","Atriplex patula v. patula","Uitstaande melde (var. patula)","0"
"595","ATRPPED","Atriplex pedunculata","Gesteelde zoutmelde","0"
"596","ATRPPOR","Atriplex portulacoides","Gewone zoutmelde","0"
"121","ATRPPRO","Atriplex prostrata","Spiesmelde","0"
"2411","ATRPP;L","Atriplex prostrata v. longipes","Spiesmelde (var. longipes)","0"
"2394","ATRPP;R","Atriplex prostrata v. prostrata","Spiesmelde (var. prostrata)","0"
"6067","ATRO-SP","Atropa species","Wolfskers (G)","0"
"125","ATROBEL","Atropa bella-donna","Wolfskers","0"
