species_nr,wetnaam,nednaam
341,Cochlearia officinalis s. anglica,Engels lepelblad
342,Cochlearia danica,Deens lepelblad
343,Cochlearia officinalis s. officinalis,Echt lepelblad
344,Coeloglossum viride,Groene nachtorchis
345,Colchicum autumnale,Wilde herfsttijloos
346,Potentilla palustris,Wateraardbei
347,Conium maculatum,Gevlekte scheerling
348,Conringia orientalis,Witte steenraket
349,Convallaria majalis,Lelietje-van-dalen
350,Convolvulus arvensis,Akkerwinde
353,Corispermum intermedium,Smal vlieszaad
355,Cornus sanguinea,Rode kornoelje
356,Cornus suecica,Zweedse kornoelje
357,Securigera varia,Bont kroonkruid
358,Coronopus didymus,Kleine varkenskers
359,Coronopus squamatus,Grove varkenskers
360,Corrigiola litoralis,Riempjes
361,Corydalis cava,Holwortel
362,Ceratocapnos claviculata,Rankende helmbloem
364,Pseudofumaria lutea,Gele helmbloem
365,Corydalis solida,Vingerhelmbloem
366,Corylus avellana,Hazelaar
367,Corynephorus canescens,Buntgras
368,Crambe maritima,Zeekool
369,Crataegus monogyna,Eenstijlige meidoorn
370,Crataegus laevigata,Tweestijlige meidoorn
371,Crepis biennis,Groot streepzaad
372,Crepis capillaris,Klein streepzaad
373,Crepis paludosa,Moerasstreepzaad
374,Crepis tectorum,Smal streepzaad
375,Crepis vesicaria s. taraxacifolia,Paardenbloemstreepzaad
376,Crithmum maritimum,Zeevenkel
377,Cucubalus baccifer,Besanjelier
379,Cuscuta epithymum,Klein warkruid
380,Cuscuta europaea,Groot warkruid
382,Cuscuta lupuliformis,Hopwarkruid
383,Vincetoxicum hirundinaria,Witte engbloem
384,Cynodon dactylon,Handjesgras
385,Cynoglossum officinale,Veldhondstong
386,Cynosurus cristatus,Kamgras
388,Cyperus fuscus,Bruin cypergras
389,Cystopteris fragilis,Blaasvaren
390,Dactylis glomerata,Kropaar
392,Daphne mezereum,Rood peperboompje
393,Datura stramonium,Doornappel
394,Daucus carota,Peen
396,Consolida regalis,Wilde ridderspoor
397,Deschampsia cespitosa,Ruwe smele
398,Deschampsia flexuosa,Bochtige smele
399,Deschampsia setacea,Moerassmele
400,Descurainia sophia,Sofiekruid
402,Dianthus armeria,Ruige anjer
403,Dianthus carthusianorum,Karthuizer anjer
404,Dianthus deltoides,Steenanjer
406,Digitalis purpurea,Gewoon vingerhoedskruid
407,Digitaria ischaemum,Glad vingergras
408,Digitaria sanguinalis,Harig vingergras
409,Diplotaxis muralis,Kleine zandkool
410,Diplotaxis tenuifolia,Grote zandkool
411,Dipsacus pilosus,Kleine kaardebol
412,Dipsacus fullonum,Grote kaardebol
413,Doronicum pardalianches,Hartbladzonnebloem
414,Doronicum plantagineum,Weegbreezonnebloem
415,Draba muralis,Wit hongerbloempje
416,Drosera longifolia,Lange zonnedauw
417,Drosera intermedia,Kleine zonnedauw
418,Drosera rotundifolia,Ronde zonnedauw
419,Dryopteris dilatata,Brede stekelvaren
420,Dryopteris cristata,Kamvaren
421,Dryopteris filix-mas,Mannetjesvaren
422,Gymnocarpium dryopteris,Gebogen driehoeksvaren
423,Oreopteris limbosperma,Stippelvaren
