SYNTAXON,SPECIES_NR,PRESENTIE,KARAKT_BED,TROUW
04A-a,18,5.1,1.8,0.01
04A-a,868,3.1,2.0,0.08
04A-a,925,2.0,2.5,0.34
04A-a,1154,2.0,35.5,1.7
04A-a,2376,3.1,1.3,0.02
04A-a,38,1.0,2.0,0.31
04A-a,77,1.0,8.0,0.35
04A-a,844,4.1,3.8,0.15
04A-a,1055,1.0,3.0,0.04
04A-a,972,2.0,2.0,0.02
04A-a,1048,2.0,1.5,0.03
04A-a,1362,1.0,1.0,0.1
04A-a,171,1.0,2.0,0.05
04A-a,585,4.1,5.8,0.1
04A-a,997,4.1,2.0,0.5
04A-a,641,1.0,3.0,0.01
04A-a,259,1.0,2.0,0.01
04A-a,763,1.0,2.0,0.01
04A-a,1056,2.0,2.5,0.01
04A-a,1318,1.0,2.0,0.02
04A-a,6078,1.0,1.0,0.71
04A-a,6291,3.1,1.7,0.11
04A-a,182,1.0,8.0,0.09
04A-a,40,1.0,18.0,0.1
04A-a,205,1.0,3.0,0.02
04A-a,673,2.0,2.0,0.02
04A-a,680,2.0,2.0,0.01
04A-a,930,1.0,8.0,0.02
04A-a,957,1.0,3.0,0.14
04A-a,959,1.0,4.0,0.0
04A-a,1003,3.1,4.0,0.41
04A-a,1099,1.0,3.0,0.07
04A-a,986,1.0,2.0,0.15
04A-a,2620,1.0,1.0,0.0
04A-a,1161,1.0,38.0,0.53
04A-a,346,1.0,1.0,0.01
04A-a,427,1.0,2.0,0.02
04A-a,665,2.0,1.0,0.02
04A-a,688,1.0,3.0,0.02
04A-a,813,1.0,2.0,0.01
04A-a,1215,1.0,2.0,0.01
04A-a,1218,1.0,1.0,0.01
04A-a,1533,2.0,1.5,0.12
04A-a,144,1.0,1.0,0.02
04A-a,719,1.0,1.0,2.09
04A1,463,7.7,2.0,0.08
04A1,644,23.1,2.3,1.9
04A1,850,23.1,4.3,2.12
04A1,933,38.5,2.2,0.09
04A1,993,7.7,2.0,0.43
04A1,995,46.2,13.8,3.96
04A1,1324,7.7,2.0,0.08
04A1,2119,100.0,58.2,97.45
04A1,2343,53.8,8.3,1.54
04A1,178,7.7,1.0,0.06
04A1,723,23.1,8.3,0.63
04A1,865,23.1,2.7,0.79
04A1,967,15.4,1.0,0.14
04A1,1000,23.1,12.3,3.67
04A1,1241,7.7,1.0,0.06
04A1,2155,15.4,5.5,4.08
04A1,6097,15.4,2.0,0.41
04A1,6187,7.7,1.0,8.98
04A1,638,23.1,4.0,0.82
04A1,1229,7.7,2.0,0.18
04A1,584,7.7,2.0,0.05
04A1,868,15.4,3.0,0.57
04A1,1002,7.7,2.0,0.11
04A1,1154,23.1,4.3,2.38
04A1,77,7.7,2.0,0.68
04A1,435,7.7,8.0,1.03
04A1,939,23.1,4.7,2.11
04A1,2145,46.2,23.7,11.22
04A1,2620,7.7,4.0,0.04
04A1,866,23.1,4.0,0.67
04A1,2131,15.4,8.0,1.19
04A1,2700,15.4,24.0,6.65
04A1,260,15.4,5.5,0.36
04A1,462,7.7,1.0,0.08
04A1,640,15.4,2.0,0.13
04A1,641,7.7,3.0,0.06
04A1,673,15.4,5.5,0.43
04A1,680,15.4,3.0,0.12
04A1,763,15.4,2.0,0.23
04A1,780,15.4,2.0,0.3
04A1,785,15.4,1.0,0.12
04A1,813,15.4,2.0,0.12
04A1,844,15.4,2.0,0.3
04A1,1048,15.4,2.0,0.3
04A1,1318,15.4,8.0,1.46
04A1,1362,15.4,1.0,1.52
04A1,1914,23.1,4.7,2.54
04A1,2376,15.4,2.0,0.14
04A1,3468,15.4,3.0,1.63
04A1,6543,15.4,2.0,10.26
04A1,28,15.4,2.0,0.47
04A1,670,7.7,8.0,0.22
04A1,1114,7.7,1.0,0.13
04A1,1173,7.7,1.0,0.24
04A1,437,7.7,3.0,0.1
04B1,854,12.5,5.6,0.91
04B1,998,27.5,5.3,1.06
04B1,2145,52.5,4.7,2.53
04B1,2160,92.5,65.3,97.08
04B1,299,10.0,2.0,0.15
04B1,441,7.5,3.0,0.18
04B1,723,10.0,2.0,0.07
04B1,724,5.0,3.0,0.08
04B1,851,10.0,3.8,0.4
04B1,994,10.0,2.3,0.38
04B1,1046,2.5,2.0,0.04
04B1,1155,5.0,8.0,1.11
04B1,1241,2.5,2.0,0.04
04B1,2195,17.5,53.3,91.38
04B1,2750,27.5,7.2,17.14
04B1,849,2.5,2.0,0.02
04B1,866,7.5,2.3,0.13
04B1,933,7.5,2.3,0.02
04B1,1327,20.0,2.3,0.54
04B1,2158,2.5,4.0,1.37
04B1,865,2.5,2.0,0.06
04B1,6422,2.5,2.0,1.79
04B1,1949,5.0,3.0,0.2
04B1,427,2.5,2.0,0.05
04B1,1317,2.5,2.0,0.04
04B1,1324,5.0,3.0,0.07
04B1,2701,2.5,2.0,0.11
04B1,1255,5.0,2.0,0.16
04B1,2146,2.5,2.0,0.08
04B1,2141,5.0,38.0,2.44
04B1,435,2.5,2.0,0.08
04B1,2155,2.5,4.0,0.48
04B1,992,20.0,4.4,8.54
04B1,1396,30.0,2.1,9.4
04B1,2143,15.0,3.3,3.72
04B1,2144,22.5,2.8,46.6
04B1,6118,2.5,2.0,100.0
04B1,1002,10.0,2.3,0.16
04B1,2134,2.5,2.0,0.65
04B1,989,5.0,2.0,3.81
04B2,346,2.0,2.0,0.02
04B2,723,8.0,2.0,0.05
04B2,866,4.0,2.0,0.06
04B2,933,26.0,8.2,0.22
04B2,998,12.0,5.2,0.46
04B2,1324,2.0,2.0,0.02
04B2,1327,8.0,3.5,0.33
04B2,2146,100.0,54.6,90.45
04B2,813,26.0,2.3,0.24
04B2,1156,8.0,3.8,0.11
04B2,1914,28.0,3.2,2.09
04B2,2147,6.0,5.0,0.35
04B2,2376,4.0,1.5,0.03
04B2,1318,20.0,4.3,1.02
04B2,1949,22.0,2.7,0.79
04B2,851,10.0,7.2,0.77
04B2,854,4.0,2.0,0.1
04B2,2145,20.0,7.2,1.48
04B2,2158,2.0,4.0,1.09
04B2,850,2.0,8.0,0.34
04B2,1002,6.0,2.7,0.11
04B2,1964,6.0,3.0,0.43
04B2,821,2.0,2.0,0.02
04B2,929,2.0,2.0,0.06
04B2,967,2.0,3.0,0.05
04B2,1041,8.0,1.8,0.15
04B2,1229,4.0,2.0,0.09
04B2,1350,2.0,2.0,0.23
04B2,2141,4.0,9.5,0.49
04B2,6106,2.0,2.0,0.34
04B2,993,6.0,6.3,1.06
04B2,995,14.0,9.3,0.81
04B2,2160,2.0,4.0,0.13
04B2,299,4.0,2.5,0.07
04B2,441,2.0,2.0,0.03
04B2,724,6.0,2.3,0.07
04B2,852,2.0,2.0,0.08
04B2,1215,2.0,2.0,0.03
04B2,2132,2.0,38.0,2.75
04B2,673,2.0,2.0,0.02
04B2,1317,6.0,12.7,0.55
04B2,2143,2.0,2.0,0.3
04B2,435,2.0,8.0,0.27
04B2,442,4.0,2.5,0.05
04B2,785,2.0,2.0,0.03
04B2,266,16.0,3.9,0.96
04B2,437,6.0,2.3,0.06
04B2,865,4.0,5.0,0.25
04B2,28,10.0,16.8,2.56
04B2,466,2.0,2.0,0.03
