code_sbb,sbb_wetnaam,sbb_beginjaar,sbb_eindjaar,code_rvvn_2018,vvn_wetnaam,code_vvn_1998,code_veldgids_2015,vvbh,kov_codes,kov_verbonden,sbb_nednaam_voor_2019,sbb_wetnaam_kort_voor_2019,sbb_wetnaam_voor_2019,opmerking_piet_schipper_2018,opmerking_john_jansen_2018,opmerking_code_rvvn_2018,opmerking_code_vvn_1998,opmerking_code_veldgids_2015
04B1,Nitellopsidetum obtusae,1998,,r04Ba01,Nitellopsidetum obtusae,04Ba01,,1,,,Associatie van Sterkranswier,Nitellopsidetum obtusae,Nitellopsidetum obtusae,,,,,
04B2,Charetum hispidae,1998,,r04Ba02,Charetum hispidae,04Ba02,,1,,,Associatie van Stekelharig kransblad,Charetum hispidae,Charetum hispidae,,,,,
04B3,Charetum asperae,1998,,r04Ba03,Charetum asperae,04Ba03,,1,,,Associatie van Ruw kransblad,Charetum asperae,Charetum asperae,,,,,
04C,Charion vulgaris,1998,,r04Bb,Charion vulgaris,04Bb,,,,,Verbond van Gewoon kransblad,Charion vulgaris,Charion vulgaris,,,,,
04C1,Charetum vulgaris,1998,,r04Bb01,Charetum vulgaris,04Bb01,,3,,,Associatie van Gewoon kransblad,Charetum vulgaris,Charetum vulgaris,,,,,
04C2,Lemno-Nitelletum capillaris,1998,,r04Bb02,Lemno-Nitelletum capillaris,04Bb02,,3,,,Associatie van Kleinhoofdig glanswier,Lemno-Nitelletum capillaris,Lemno-Nitelletum capillaris,,,,,
04C3,Tolypelletum proliferae,1998,,r04Bb03,Tolypelletum proliferae,04Bb03,,1,,,Associatie van Groot boomglanswier,Tolypelletum proliferae,Tolypelletum proliferae,,,,,
04D,Charion canescentis,1998,,r04Ca,Charion canescentis,04Ca,,,,,Verbond van Brakwater-kransblad,Charion canescentis,Charion canescentis,,,,,
04D1,Charetum canescentis,1998,,r04Ca01,Charetum canescentis,04Ca01,,,,,Associatie van Brakwaterglansblad,Charetum canescentis,Charetum canescentis,,,,,
04D1a,Charetum canescentis typicum,2000,,r04Ca01,Charetum canescentis,04Ca01,,1,,,"Assoc. v Brakwaterglansblad, typische subass.",Charetum canescentis typicum,Charetum canescentis typicum,,,,,
04D1b,Charetum canescentis inops,2000,,r04Ca01,Charetum canescentis,04Ca01,,1,,,"Assoc. v Brakwaterglansblad, soortenarme subass.",Charetum canescentis inops,Charetum canescentis inops,,,,,
04-a,RG Chara globularis-[Charetea fragilis],1998,,r04RG01,RG Chara globularis-[Charetea fragilis],04RG01,04RG01,3,,,RG Breekbaar kransblad-[Kranswieren-klasse],RG Chara globularis-[Charetea fragilis],RG Chara globularis-[Charetea fragilis],,,,,
